CALENDAR_DATE,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR,WEEKDAY
01-01-2012,2012,New Year,1,0,24.8,0,Sunday
01-02-2012,2012,New Year,0,0,24.8,0,Monday
01-03-2012,2012,New Year,0,0,32,1,Tuesday
01-04-2012,2012,NULL,0,0,32,1,Wednesday
01-05-2012,2012,NULL,0,0,24.8,0,Thursday
01-06-2012,2012,NULL,0,0,23,0,Friday
01-07-2012,2012,NULL,1,0,26.6,0,Saturday
01-08-2012,2012,NULL,1,0,26.6,0,Sunday
01-09-2012,2012,NULL,0,0,23,0,Monday
01-10-2012,2012,NULL,0,0,24.8,0,Tuesday
01-11-2012,2012,NULL,0,0,21.2,0,Wednesday
01-12-2012,2012,NULL,0,0,24.8,0,Thursday
1-13-2012,2012,NULL,0,0,26.6,0,Friday
1-14-2012,2012,NULL,1,0,23,0,Saturday
1-15-2012,2012,NULL,1,0,32,1,Sunday
1-16-2012,2012,NULL,0,0,23,0,Monday
1-17-2012,2012,NULL,0,0,23,0,Tuesday
1-18-2012,2012,NULL,0,0,23,0,Wednesday
1-19-2012,2012,NULL,0,0,24.8,0,Thursday
1-20-2012,2012,NULL,0,0,26.6,0,Friday
1-21-2012,2012,NULL,1,0,26.6,0,Saturday
1-22-2012,2012,NULL,1,0,24.8,0,Sunday
1-23-2012,2012,NULL,0,0,23,0,Monday
1-24-2012,2012,NULL,0,0,24.8,0,Tuesday
1-25-2012,2012,NULL,0,0,23,0,Wednesday
1-26-2012,2012,NULL,0,0,24.8,0,Thursday
1-27-2012,2012,NULL,0,0,32,1,Friday
1-28-2012,2012,NULL,1,0,32,1,Saturday
1-29-2012,2012,NULL,1,0,23,0,Sunday
1-30-2012,2012,NULL,0,0,28.4,0,Monday
1-31-2012,2012,NULL,0,0,32,1,Tuesday
02-01-2012,2012,NULL,0,0,32,1,Wednesday
02-02-2012,2012,Luner New Year,0,0,32,1,Thursday
02-03-2012,2012,Luner New Year,0,0,32,1,Friday
02-04-2012,2012,Luner New Year,1,0,32,1,Saturday
02-05-2012,2012,Luner New Year,1,0,32,1,Sunday
02-06-2012,2012,Luner New Year,0,0,32,1,Monday
02-07-2012,2012,Luner New Year,0,0,32,1,Tuesday
02-08-2012,2012,Luner New Year,0,0,32,1,Wednesday
02-09-2012,2012,NULL,0,0,32,1,Thursday
02-10-2012,2012,NULL,0,0,32,1,Friday
02-11-2012,2012,NULL,1,0,24.8,0,Saturday
02-12-2012,2012,NULL,1,0,24.8,0,Sunday
2-13-2012,2012,NULL,0,0,32,1,Monday
2-14-2012,2012,NULL,0,0,32,1,Tuesday
2-15-2012,2012,NULL,0,0,32,1,Wednesday
2-16-2012,2012,NULL,0,0,32,1,Thursday
2-17-2012,2012,NULL,0,0,32,1,Friday
2-18-2012,2012,NULL,1,0,32,1,Saturday
2-19-2012,2012,NULL,1,0,37.4,1,Sunday
2-20-2012,2012,NULL,0,0,37.4,1,Monday
2-21-2012,2012,NULL,0,0,39.2,1,Tuesday
2-22-2012,2012,NULL,0,0,39.2,1,Wednesday
2-23-2012,2012,NULL,0,0,42.8,1,Thursday
2-24-2012,2012,NULL,0,0,39.2,1,Friday
2-25-2012,2012,NULL,1,0,37.4,1,Saturday
2-26-2012,2012,NULL,1,0,32,1,Sunday
2-27-2012,2012,NULL,0,0,30.2,1,Monday
2-28-2012,2012,NULL,0,0,33.8,1,Tuesday
03-01-2012,2012,NULL,0,0,33.8,1,Wednesday
03-02-2012,2012,NULL,0,0,35.6,1,Thursday
03-03-2012,2012,NULL,1,0,35.6,1,Friday
03-04-2012,2012,NULL,1,0,41,1,Saturday
03-05-2012,2012,NULL,0,0,44.6,1,Sunday
